title,content_length,lead_length,lead_length_ratio,num_header2_reference,num_refTag,num_ref_tag,num_page_links,num_cite_temp,num_non_cite_templates,num_categories,num_images_length,num_files_length,has_infobox,num_lv2_headings,num_lv3_headings,website_count,word_count,type
乐声安峰,42687,1382,0.032375196195563054,0,0,51,166,51,79,5,0.002483191604001218,9.370534354721578e-05,1,8,3,14,1875,FA
第65届奥斯卡金像奖,51219,4830,0.0943009430094301,0,0,32,422,32,280,4,0.000839532204845858,0.00017571604287471446,1,6,7,15,2313,FA
告密者 (2010年电影),54426,3958,0.07272259581817514,0,0,51,144,51,102,6,0.0009737992871054276,0.00011024142872891633,1,8,6,49,2326,FA
肝肾综合征,42608,2019,0.047385467517837024,0,0,55,74,54,42,2,0.0005398047315058205,0.00016428839654524972,1,10,5,14,2209,FA
第85屆奧斯卡金像獎,82890,9026,0.10889130172517794,0,0,65,590,65,306,4,0.0007359150681626251,0.00013270599589817832,1,6,11,44,3148,FA
1992年台风盖伊,22460,2076,0.09243098842386464,0,0,20,113,20,28,4,0.000578806767586821,4.452359750667854e-05,1,6,3,18,1383,FA
植劇場－荼蘼,49837,2402,0.04819712261974035,0,0,40,214,40,54,13,0.0004013082649437165,4.013082649437165e-05,0,8,7,29,2499,FA
紅毛城,43321,1817,0.04194270677038849,0,0,34,163,39,197,13,0.0004847533528773574,0.0002077514369474389,0,9,9,21,2304,FA
言论的边界,32843,2145,0.06531072070151935,0,0,33,125,39,45,4,0.00039582254970617787,0.00012179155375574704,1,8,3,16,1630,FA
多发性硬化症,105914,8182,0.07725135487282135,0,0,147,196,148,165,2,0.0005570557244556905,0.00013218271427762145,1,14,20,27,4585,FA
E.T.外星人 (专辑),32972,1167,0.03539366735411865,0,0,39,75,37,141,3,0.00018197258279752516,3.0328763799587527e-05,1,10,0,22,1477,FA
2003年热带风暴亨利,21341,729,0.034159598894147415,0,0,29,83,29,46,6,0.0008434468862752448,4.6858160348624716e-05,1,6,2,15,1065,FA
金大中,135840,3483,0.025640459363957598,0,2,124,832,123,334,24,0.00019140164899882214,5.889281507656066e-05,1,9,41,15,5343,FA
第80屆奧斯卡金像獎,72434,7503,0.10358395228759974,0,0,59,513,59,279,4,0.0007178949112295331,0.00012425104232818843,1,6,8,39,2818,FA
賈乃錫,49853,2339,0.04691793873989529,41,0,76,341,0,37,11,0.0007622409885062083,0.00010029486690871162,1,8,13,21,2272,FA
世界贸易中心的建造过程,78244,1508,0.019273043300444763,8,0,87,173,88,279,2,0.0004600991769336946,0.00015336639231123154,0,8,17,20,3344,FA
墨西哥地震预警系统,24733,807,0.03262847208183399,0,0,23,51,23,20,3,0.000161727246997938,0.000161727246997938,0,8,5,12,1258,FA
飓风法比安,37857,2400,0.06339646564704018,0,0,56,125,53,54,9,0.0005283038803920015,0.00018490635813720051,1,7,4,14,1818,FA
肯尼迪半美元,36881,2175,0.05897345516661696,0,0,40,82,40,69,5,0.0004338277161682167,8.134269678154064e-05,0,5,2,11,1592,FA
胚胎幹細胞,41598,2000,0.04807923457858551,0,0,57,142,58,28,4,0.0003125150247608058,0.00016827732102504928,0,6,8,25,2131,FA
透过窥镜,66065,1741,0.026352834329826685,0,0,98,191,96,48,2,0.0014833875728449254,6.054643154469084e-05,1,5,3,49,2683,FA
宇喜多氏,47897,1249,0.02607678977806543,0,0,30,285,30,333,6,0.0003131720149487442,8.351253731966512e-05,0,8,6,15,2483,FA
2018年安克雷奇地震,49380,1878,0.03803159173754556,0,0,38,116,38,63,5,0.0007897934386391251,0.00018226002430133658,1,8,3,25,2007,FA
2018年北海道地震,98038,2175,0.02218527509741121,0,0,118,274,118,116,5,0.0009486117627858586,0.00011220139129725209,1,6,7,45,3209,FA
自由女神像,97488,4868,0.049934350894469064,0,0,76,342,76,209,21,0.0005539143279172822,0.00022566880026259642,1,7,13,42,4169,FA
伊冯·弗莱切尔谋杀案,54417,1440,0.026462318760681405,80,0,0,160,80,206,10,0.0011577264457798115,1.83766102504732e-05,1,9,10,20,2519,FA
努尔哈赤,124942,4873,0.03900209697299547,32,253,0,532,33,797,18,0.0002881336940340318,8.003713723167549e-05,0,9,36,10,5901,FA
2005年大西洋飓风季的风暴,83326,5350,0.06420565009720855,0,0,60,283,60,210,3,0.0016321436286393202,1.2001056092936178e-05,1,6,32,18,2232,FA
气旋哈利,15700,1028,0.06547770700636943,0,0,12,63,12,18,4,0.0010828025477707007,0.0,1,5,0,12,839,FA
飓风伊莎贝尔对马里兰州和哥伦比亚特区的影响,44999,1759,0.03908975755016778,0,0,45,149,45,118,3,0.00035556345696571037,8.889086424142759e-05,1,5,5,23,1868,FA
地铁莎蒂,20480,1332,0.0650390625,0,0,29,69,29,49,6,0.001171875,4.8828125e-05,1,6,0,11,1058,FA
1927年芝加哥市长选举,65665,1822,0.027746897129368765,50,0,89,103,50,354,4,0.00033503388410873375,7.614406457016675e-05,1,7,7,12,2483,GA
1933年古巴－巴哈马飓风,15819,2278,0.14400404576774764,0,0,17,87,17,24,9,0.0005057209684556546,0.0,1,4,0,8,934,GA
1965年热带风暴黑兹尔,8554,877,0.10252513444002806,0,0,9,41,9,16,3,0.0009352349777881693,0.0,1,5,0,5,619,GA
1990年飓风伯莎,13867,1302,0.09389197375063099,0,0,11,66,11,21,3,0.0013701593711689622,7.211365111415591e-05,1,5,0,7,843,GA
1993年第一号热带低气压,12025,653,0.0543035343035343,0,0,13,68,13,13,5,0.001081081081081081,8.316008316008316e-05,1,4,0,6,678,GA
2003年飓风诺拉,17335,873,0.05036054225555235,0,0,19,65,19,16,3,0.00040380732621863284,5.768676088837612e-05,1,5,0,6,739,GA
2011年热带风暴艾米莉,42504,1209,0.028444381705251272,0,0,56,119,56,18,6,0.0012939958592132505,4.7054394880481836e-05,1,6,4,33,1635,GA
2018年岛根地震,30918,1960,0.06339349246393687,0,0,39,100,39,33,4,0.0011320266511417297,6.468723720809884e-05,1,6,0,26,1418,GA
430事件,73566,3270,0.04444988173884675,0,0,71,374,43,257,9,0.001101052116466846,0.00013593236005763533,1,8,19,36,4003,GA
Bic Cristal,13427,1554,0.11573694794071647,0,0,18,41,18,25,4,0.0021598272138228943,7.447680047665153e-05,1,6,2,17,1010,GA
Ddu-Du Ddu-Du,107408,2597,0.024178832116788323,0,0,96,155,259,102,9,0.0016293013555787278,9.310293460449874e-06,1,9,8,44,2002,GA
Girl's Garden,10579,694,0.06560166367331506,0,0,12,40,12,28,8,0.0006616882503072124,9.452689290103034e-05,1,4,0,11,726,GA
中世纪前期,63025,1653,0.026227687425624754,0,0,48,431,45,86,2,0.0008409361364537882,0.00041253470844902817,0,15,13,19,3358,GA
任弼时,34710,1708,0.049207721117833475,3,0,52,280,52,66,12,0.00040334197637568423,0.0002592912705272256,1,5,4,8,1843,GA
伊利诺伊州百年纪念半美元,19961,1505,0.07539702419718451,0,0,3,79,15,102,9,0.0005009769049646811,0.00015029307148940434,0,7,0,2,1236,GA
何才,33621,2535,0.07539930400642456,0,0,26,148,26,104,14,0.0010410160316468874,5.948663037982213e-05,1,7,5,23,1446,GA
写入放大,42240,3750,0.08877840909090909,0,0,40,73,40,26,1,0.0008522727272727272,0.00011837121212121212,0,18,3,31,1579,GA
加勒比海盗：黑珍珠号的诅咒,49298,3793,0.07694024098340703,0,0,51,191,51,87,18,0.00028398718000730255,2.028479857195018e-05,1,7,7,33,2350,GA
動物方城市,184697,11662,0.06314125297108236,0,0,234,819,227,475,33,0.0008771122432957763,7.579982349469672e-05,1,10,17,127,6007,GA
南北共同聯絡事務所炸毀事件,46510,2372,0.050999784992474734,0,0,103,116,102,17,6,0.00017200602021070737,0.0,1,7,7,37,1950,GA
哈爾濱市人民防洪勝利紀念塔,17553,729,0.04153136216031448,0,0,14,81,14,14,4,0.0009684954138893636,0.0002848515923204011,0,4,6,10,1008,GA
团队 (歌曲),69264,2410,0.03479440979440979,0,0,124,162,124,96,5,0.0013282513282513282,4.331254331254331e-05,1,11,3,78,2142,GA
天倉五,34306,5113,0.1490409840844167,0,0,41,146,38,42,9,0.00034979303911852156,8.744825977963039e-05,0,9,4,25,1999,GA
安妮·沃伯頓,31085,1806,0.0580987614605115,12,0,15,249,0,30,7,0.0009650957053241113,0.00012867942737654817,1,8,9,9,1609,GA
小樽市,56634,3895,0.0687749408482537,0,0,83,140,83,150,1,0.0023130981389271462,0.00019422961471907336,0,11,4,41,2263,GA
強烈熱帶風暴林茵 (1981年),19264,1244,0.06457641196013289,0,0,21,119,21,35,7,0.0008824750830564784,0.00015573089700996677,1,6,3,9,1244,GA
星際之刃 藍星行動,15078,1319,0.08747844541716408,0,0,13,47,13,41,6,0.0003979307600477517,6.632179334129194e-05,1,5,2,10,881,GA
林思顯,27233,1442,0.05295046450996952,25,0,31,178,0,24,16,0.00014688062277384056,0.0,1,7,9,19,1121,GA
柯利達,39073,1737,0.04445525042868477,22,0,33,255,0,24,9,0.000281524326261101,0.000102372482276764,1,9,11,15,1963,GA
氣旋盧班,21449,1453,0.06774208587812952,0,0,31,54,31,31,5,0.0006527110821017296,0.0,1,5,0,11,985,GA
济南府学文庙,23568,957,0.04060590631364562,0,0,27,124,22,42,3,0.00038187372708757637,0.00046673455532926,0,6,4,19,1369,GA
潘曉穎命案,61756,4604,0.07455146058682557,0,0,76,137,76,25,12,0.0005019755165489993,1.6192758598354815e-05,1,6,7,39,2337,GA
火焰之纹章 新·纹章之谜 ～光与影的英雄～,24433,1216,0.04976875537183317,0,0,25,37,24,16,7,0.0005729955388204478,8.185650554577825e-05,1,6,0,13,1239,GA
白沙村姦殺女童藏屍案,39549,1769,0.04472932311815722,0,0,37,45,37,9,6,0.0012389693797567574,0.00010114035753116388,1,7,8,16,1903,GA
碇真嗣,80667,1890,0.023429655249358472,0,0,131,147,149,95,5,0.0006942120073883992,6.198321494539279e-05,1,13,3,66,3430,GA
笃斯越橘,35238,2129,0.060417730858732054,0,0,44,215,42,18,44,0.0004256768261535842,0.0002270276406152449,0,7,15,20,1925,GA
约瑟夫·梅里克,45075,771,0.017104825291181364,0,0,104,170,21,30,1,0.00019966722129783693,4.437049362174154e-05,1,12,0,7,2435,GA
美国家庭结构,19739,774,0.0392117128527281,0,0,33,44,12,36,2,0.0014185115760676833,5.066112771670297e-05,0,9,17,25,1310,GA
臺灣桃園國際機場國內線航廈,13807,983,0.07119577026146158,0,0,12,42,12,26,4,0.0008691243572101109,0.00014485405953501847,1,6,0,6,681,GA
英国重金属新浪潮,125148,1815,0.014502828650877361,0,0,116,222,195,900,3,0.0008949403905775562,8.789593121743855e-05,1,9,14,55,4180,GA
葛量洪夫人新村,21077,1629,0.07728803909474782,0,0,40,110,40,8,3,0.0002846704939033069,4.744508231721782e-05,0,7,3,11,1359,GA
諾曼第級戰列艦,23729,1848,0.07787938809052214,0,0,1,65,8,179,5,0.00029499768216106876,0.00021071263011504908,0,9,2,4,1282,GA
贝尔要退出,32753,5468,0.16694653924831312,0,0,42,130,43,49,10,0.0007022257503129484,6.106310872286508e-05,1,8,0,35,1532,GA
镄,29429,1671,0.056780726494274354,0,0,38,104,35,44,4,0.0003058207890176357,0.0002038805260117571,0,10,2,12,1670,GA
阴间大法师,42508,4169,0.09807565634704056,0,0,48,117,48,81,11,0.0005645996047802767,0.0,1,10,3,36,2197,GA
颶風伊萊亞娜 (2006年),12603,727,0.05768467825121003,0,0,12,73,12,18,3,0.0007141156867412521,7.934618741569468e-05,1,6,0,6,618,GA
颶風卡洛塔 (2012年),16479,1225,0.07433703501426057,0,0,27,77,26,26,3,0.0005461496450027307,6.068329388919231e-05,1,6,0,12,843,GA
颶風艾格卡,9043,832,0.09200486564193298,0,0,7,58,7,15,6,0.00044233108481698554,0.0,1,4,0,7,603,GA
飓风阿道夫,15985,1542,0.09646543634657491,0,0,22,59,22,17,2,0.00031279324366593683,0.00012511729746637472,1,5,0,10,757,GA
香港警察向清真寺發射藍色水炮事件,38687,1968,0.050869801225217774,0,0,38,79,38,14,13,0.00033603019102023936,0.00010339390492930441,0,7,5,21,1506,GA
1963年飓风阿琳,11232,1942,0.1728988603988604,0,0,11,55,10,16,3,0.0011574074074074073,0.0,1,6,0,5,616,GA
2002年热带风暴亚瑟,10705,803,0.07501167678654834,0,0,15,62,15,18,5,0.0008407286314806165,9.341429238673517e-05,1,5,0,5,544,GA
2002年热带风暴克里斯托瓦尔,8871,1279,0.1441776575357908,0,0,9,61,9,17,4,0.00033818058843422386,0.0,1,5,0,6,539,GA
IOS 4,37084,2469,0.06657857836263617,0,1,64,158,64,30,2,0.00132132456045734,0.00018876065149390573,1,8,4,33,1256,GA
RKB每日放送,31964,2966,0.0927918908772369,0,0,19,102,19,206,6,0.0005318483293705418,0.00012514078338130396,1,7,8,8,1366,GA
三叉戟行动 (1971年),13824,727,0.05258969907407408,0,0,9,52,13,41,5,0.001880787037037037,7.233796296296296e-05,1,4,2,10,781,GA
亞眠,86995,4936,0.056738893039829874,4,0,127,186,131,277,2,0.0020116098626357837,0.00019541352951319042,1,15,31,65,3445,GA
光电效应,46197,2840,0.06147585341039461,0,0,47,176,36,58,4,0.0008225642357728857,0.0001515249908002684,0,9,13,23,2153,GA
八月宗派事件,54176,1776,0.03278204370939161,0,0,29,288,27,106,11,0.00033225044300059066,0.00020304193738924985,1,8,9,4,2628,GA
分手 (我为喜剧狂),23561,2141,0.09087050634523153,0,0,37,57,37,41,2,0.0006366453036798098,0.0,1,5,0,25,1262,GA
华林寺,52452,3152,0.0600930374437581,0,0,64,138,72,93,2,0.000724471898116373,0.0001906504995043087,0,7,7,19,2303,GA
哈勃深空,28886,1322,0.04576611507304577,0,0,33,114,31,26,4,0.0007962334695007962,0.0003808073115003808,0,11,0,12,1614,GA
唧筒座,29359,2031,0.06917810552130522,3,0,45,151,46,39,3,0.0009877720630811677,0.00013624442249395415,1,4,6,15,1709,GA
國際音標,96213,3375,0.035078419756166004,0,0,85,424,75,696,4,0.0005508611102449772,0.00014551048195150343,1,16,27,36,3513,GA
小事情 (1世代歌曲),46899,2111,0.045011620716859636,0,0,80,152,56,65,6,0.001130088061579138,6.396724876863046e-05,1,11,3,45,1722,GA
布达佩斯大饭店,133393,4795,0.03594641397974407,3,0,158,260,143,189,24,0.0010570269804262592,7.496645251250066e-05,1,8,17,77,5070,GA
张闻天,46264,2752,0.05948469652429535,0,0,66,356,58,145,19,0.0002377658654677503,0.00010807539339443195,1,7,5,26,2454,GA
徐步高,35658,1484,0.04161758932076953,0,0,49,179,1,32,8,8.413259296651523e-05,5.608839531101015e-05,1,9,6,5,2288,GA
拜寺口双塔,13539,430,0.03176010045055026,0,0,19,32,19,24,4,0.00044316419233325947,0.00014772139744441981,0,6,2,11,841,GA
新鐵金剛之明日帝國,43026,2699,0.06272951238785851,0,0,50,173,50,97,17,0.0008134616278529261,0.00011620880397898944,1,7,6,36,2279,GA
朝阳北塔,16656,708,0.04250720461095101,0,0,13,72,12,16,7,0.0004803073967339097,0.00018011527377521613,0,7,4,10,1063,GA
杏黄猪笼草,15892,995,0.06261011829851498,0,0,7,104,0,40,3,0.0008809463881198087,6.292474200855777e-05,0,9,4,5,863,GA
杰米·克莱顿,39435,2090,0.05299860529986053,0,0,57,91,57,92,8,0.0008621782680360087,0.0,0,6,6,48,1801,GA
林育英,35928,1031,0.028696281451792476,0,0,62,175,62,64,10,8.350033400133601e-05,8.350033400133601e-05,1,5,4,1,1949,GA
歐敬祿,32209,1525,0.04734701480952529,53,0,44,188,0,22,3,0.0006519916793442826,6.209444565183644e-05,1,7,10,12,1729,GA
沈阳市,207525,9485,0.045705336706420914,0,0,302,1166,296,182,11,0.0005926996747379834,0.00014456089627755693,1,15,48,143,6807,GA
熱帶氣旋塔姆,10606,931,0.0877805016028663,0,0,13,40,13,18,2,0.0006600037714501226,0.0,1,3,0,12,627,GA
玉环市图书馆,19929,2411,0.1209794771438607,0,0,26,52,26,9,7,0.0006021375884389584,0.0001505343971097396,1,7,5,15,979,GA
短尾貓,35204,1583,0.044966481081695264,0,0,47,220,45,10,6,0.0006533348483126918,0.00022724690376093625,0,9,4,20,2031,GA
穆罕默德·摩萨台,46310,4142,0.0894407255452386,5,0,85,135,63,47,8,0.0006478082487583676,0.00010796804145972792,1,8,13,24,2431,GA
米勒德·菲尔莫尔,105111,3757,0.03574316674753356,44,0,0,422,49,382,30,0.0007801276745535672,0.00015222003405923262,1,14,11,34,4323,GA
罗伯特·奥本海默,107922,4754,0.044050332647652936,34,0,195,421,91,307,23,0.00039843590741461425,0.00013898927002835382,1,11,11,39,4587,GA
美国密苏里东部联邦地区法院,25338,1481,0.058449759254874105,0,0,37,100,21,19,2,0.0005130633830610151,0.00019733207040808273,1,6,3,10,1387,GA
芭芭拉·卡素爾,63325,2189,0.03456770627714173,28,0,28,436,0,79,19,0.0009474930911962101,0.00011054086063955784,1,10,12,20,2742,GA
蔣法賢,43853,1206,0.027500969146922672,23,0,37,319,0,47,11,0.00029644494105306364,0.00011401728502040909,1,8,12,10,1739,GA
西辽,69362,2599,0.03747008448429976,0,0,72,493,27,51,7,0.00017300539200138405,4.325134800034601e-05,1,11,17,1,3771,GA
讓對話更有溫度「接納篇」,15467,1126,0.07280015516906964,0,0,22,34,22,9,5,0.0007111915691472167,0.0,1,5,0,10,787,GA
賈德幹,31084,2121,0.06823446145927164,8,0,15,258,0,33,9,0.000514734268433921,0.00012868356710848025,1,9,13,11,1558,GA
